array_index,real_minutes,real_seconds,total_seconds,filename
1,3,0.243,180.243,task12_24818873_1.err
2,2,59.253,179.253,task12_24818873_2.err
3,3,3.186,183.186,task12_24818873_3.err
4,3,4.3,184.3,task12_24818873_4.err
5,3,4.663,184.663,task12_24818873_5.err
6,3,2.473,182.473,task12_24818873_6.err
7,3,1.794,181.794,task12_24818873_7.err
8,3,4.507,184.507,task12_24818873_8.err
9,3,6.062,186.062,task12_24818873_9.err
10,3,3.716,183.716,task12_24818873_10.err
11,3,4.281,184.281,task12_24818873_11.err
12,3,1.28,181.28,task12_24818873_12.err
13,3,1.227,181.227,task12_24818873_13.err
14,2,59.941,179.941,task12_24818873_14.err
15,3,5.432,185.432,task12_24818873_15.err
16,3,4.2,184.2,task12_24818873_16.err
17,3,3.861,183.861,task12_24818873_17.err
18,3,3.178,183.178,task12_24818873_18.err
19,3,1.826,181.826,task12_24818873_19.err
20,3,3.44,183.44,task12_24818873_20.err
21,3,4.769,184.769,task12_24818873_21.err
22,3,2.359,182.359,task12_24818873_22.err
23,3,0.954,180.954,task12_24818873_23.err
24,3,2.99,182.99,task12_24818873_24.err
25,3,4.082,184.082,task12_24818873_25.err
26,3,3.116,183.116,task12_24818873_26.err
27,3,2.317,182.317,task12_24818873_27.err
28,2,59.409,179.409,task12_24818873_28.err
29,3,0.731,180.731,task12_24818873_29.err
30,2,59.342,179.34199999999998,task12_24818873_30.err
31,3,1.431,181.431,task12_24818873_31.err
32,3,4.486,184.486,task12_24818873_32.err
33,3,4.348,184.348,task12_24818873_33.err
34,3,3.481,183.481,task12_24818873_34.err
35,3,1.516,181.516,task12_24818873_35.err
36,3,0.522,180.522,task12_24818873_36.err
37,3,4.066,184.066,task12_24818873_37.err
38,2,59.009,179.00900000000001,task12_24818873_38.err
39,3,4.015,184.015,task12_24818873_39.err
40,3,0.867,180.867,task12_24818873_40.err
41,3,4.321,184.321,task12_24818873_41.err
42,3,1.124,181.124,task12_24818873_42.err
43,3,5.964,185.964,task12_24818873_43.err
44,3,3.375,183.375,task12_24818873_44.err
45,3,4.493,184.493,task12_24818873_45.err
46,2,20.205,140.20499999999998,task12_24818873_46.err
